PopulationGroupTypeID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaWaitTime,BetaAccessTime,BetaWaitTime_Pooled,BetaAccessTime_Pooled,BetaTravelTimeMixed
HighIncNoVeh,home,walk,0.825,-0.14800000000000002,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVeh,home,walk,0.825,-0.14800000000000002,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVehSenior,home,auto,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-3.503,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVehSenior,home,auto,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,0.0,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVehSenior,home,auto,-3.602,-0.14800000000000002,-0.065,-0.019,0.0,-3.466,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-3.503,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVehSenior,home,auto,0.0,-0.14800000000000002,-0.065,-0.019,0.0,0.0,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,0.0,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVehSenior,home,bus,-2.8960000000000004,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVehSenior,home,bus,-2.8960000000000004,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVehSenior,home,bus,-2.8960000000000004,-0.14800000000000002,-0.049,-0.019,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVehSenior,home,bus,-2.8960000000000004,-0.14800000000000002,-0.049,-0.019,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
