HomeMicrotypeID,TimePeriodID,PopulationGroupID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
C_5,10,LowIncVeh,leisure,F_3,F_3,0.00778114276144645
C_5,10,HighIncVeh,work,F_5,F_3,0.0124044467487221
C_5,10,HighIncVeh,home,F_5,C_5,0.00698510330556347
C_5,10,HighIncVeh,work,F_3,F_3,0.0124044467487221
C_5,6,LowIncVeh,leisure,C_2,C_2,0.131526601817961
C_5,6,LowIncVeh,home,C_5,C_5,0.751957980764262
C_5,6,LowIncVeh,work,C_5,C_2,0.112438519986378
B_4,15,LowIncVeh,leisure,A_1,A_5,0.0685864655278716
B_4,7,LowIncVeh,work,B_4,B_4,0.183282368914458
B_4,16,LowIncVeh,home,B_4,B_4,0.151227083613611
B_4,11,LowIncVeh,leisure,A_5,A_1,0.172475594133743
B_4,13,LowIncVeh,home,B_4,B_4,0.570818571114907
B_4,19,LowIncVeh,home,B_2,B_1,0.118989183677604
B_4,17,LowIncVeh,leisure,B_1,B_2,0.2046040560065
B_4,15,LowIncVeh,home,B_1,B_1,0.159293523348911
B_4,8,LowIncVeh,school,B_1,B_1,0.8454718638653
B_4,15,LowIncVeh,work,B_4,B_4,0.551009637892375
C_4,7,HighIncVehSenior,leisure,F_2,F_3,0.500543785043834
C_4,18,HighIncVeh,leisure,F_3,F_2,0.00671714730796122
C_4,18,HighIncVehSenior,leisure,F_3,F_2,0.0468990086801516
C_4,17,HighIncVehSenior,leisure,F_2,F_3,0.0920316325250024
C_4,7,HighIncVehSenior,home,F_3,F_2,1
C_4,10,HighIncVehSenior,leisure,F_2,F_3,0.0815331260930469
C_4,17,HighIncVeh,leisure,F_2,F_3,0.0327904327801877
C_4,7,HighIncVeh,home,F_3,F_2,0.106478956327582
C_4,11,HighIncVehSenior,home,F_3,F_2,0.35986628516175
C_4,7,HighIncVeh,leisure,F_2,F_3,0.0582590656443296
C_6,14,HighIncVehSenior,home,C_5,C_6,0.434272462710448
C_6,13,HighIncVehSenior,leisure,C_5,C_5,0.121591272741295
C_6,12,HighIncVehSenior,leisure,C_6,C_5,0.079925874203709
C_6,11,HighIncVehSenior,leisure,C_3,F_2,0.0576391637661274
C_6,9,HighIncVehSenior,leisure,C_6,C_3,0.24553362454521
C_6,18,HighIncVehSenior,home,F_2,A_3,0.435370740524222
C_2,12,HighIncVehSenior,home,F_3,C_2,0.010655120961089
C_2,9,HighIncVeh,leisure,B_2,F_3,0.00188656115253149
C_2,9,HighIncVehSenior,leisure,B_2,F_3,0.00873818498192
C_2,12,HighIncVeh,home,F_3,C_2,0.00146707880754458
C_2,7,HighIncVeh,medical,B_2,B_3,0.280445656189502
C_2,12,HighIncVeh,home,B_2,C_2,0.00228016748683613
