ModesAllowed,SubnetworkID,Mode
Rail,174,rail
Auto-Bus-Bike-Freight,175,auto
Auto-Bus-Bike-Freight,175,bus
Auto-Bus-Bike-Freight,175,bike
Auto-Bus-Bike-Freight,175,freight_combo
Auto-Bus-Bike-Freight,175,freight_single
Walk,176,walk
Bus,177,bus
Bike,178,bike
Rail,179,rail
