SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,a,avgLinkLength,b,capacityFlow,k_jam,smoothingFactor,vMax,waveSpeed
55,False,21084934.342514936,rural,B_6,Auto-Bus-Bike,Road,-226.65,50,0.1,,,,,
56,True,4216986.868502988,fixed,B_6,Walk,Sidewalk,,,,,,,1.35,
57,True,0.0,bottleneck,B_6,Bus,Road,,50,,0.4,,,17.0,
58,True,0.0,fixed,B_6,Bike,Road,,,,,0.15,,5.0,
59,True,445124.8041902049,fixed,B_6,Rail,Rail,,,,,,,20.0,
60,False,152562.219596426,modified-quadratic,C_1,Auto-Bus-Bike,Road,-80.4,50,0.13,,0.5,,11.6,
61,True,30512.4439192852,fixed,C_1,Walk,Sidewalk,,,,,,,1.35,
62,True,0.0,bottleneck,C_1,Bus,Road,,50,,0.4,,,17.0,
63,True,0.0,fixed,C_1,Bike,Road,,,,,0.15,,5.0,
64,True,4430.3831580158785,fixed,C_1,Rail,Rail,,,,,,,20.0,
65,False,2702421.6878803447,modified-quadratic,C_2,Auto-Bus-Bike,Road,-148.79,50,0.1,,0.5,,,
66,True,540484.3375760689,fixed,C_2,Walk,Sidewalk,,,,,,,1.35,
67,True,0.0,bottleneck,C_2,Bus,Road,,50,,0.4,,,17.0,
68,True,0.0,fixed,C_2,Bike,Road,,,,,0.15,,5.0,
69,True,272245.0284091952,fixed,C_2,Rail,Rail,,,,,,,20.0,
70,False,3213646.2688503778,rural,C_3,Auto-Bus-Bike,Road,-302.29,50,0.07,,0.5,,,
71,True,642729.2537700755,fixed,C_3,Walk,Sidewalk,,,,,,,1.35,
72,True,0.0,bottleneck,C_3,Bus,Road,,50,,0.4,,,17.0,
73,True,0.0,fixed,C_3,Bike,Road,,,,,0.15,,5.0,
74,True,109339.97034520622,fixed,C_3,Rail,Rail,,,,,,,20.0,
75,False,485488.980135308,rural,C_4,Auto-Bus-Bike,Road,-195.76,50,0.09,,0.5,,,
76,True,97097.7960270616,fixed,C_4,Walk,Sidewalk,,,,,,,1.35,
77,True,0.0,bottleneck,C_4,Bus,Road,,50,,0.4,,,17.0,
78,True,0.0,fixed,C_4,Bike,Road,,,,,0.15,,5.0,
79,True,30298.049202817812,fixed,C_4,Rail,Rail,,,,,,,20.0,
80,False,16100110.880787082,rural,C_5,Auto-Bus-Bike,Road,-147.41,50,0.11,,0.5,,,
81,True,3220022.1761574163,fixed,C_5,Walk,Sidewalk,,,,,,,1.35,
82,True,0.0,bottleneck,C_5,Bus,Road,,50,,0.4,,,17.0,
83,True,0.0,fixed,C_5,Bike,Road,,,,,0.15,,5.0,
84,True,249447.21626693403,fixed,C_5,Rail,Rail,,,,,,,20.0,
85,False,7398837.1726566795,rural,C_6,Auto-Bus-Bike,Road,-226.65,50,0.1,,,,,
86,True,1479767.434531336,fixed,C_6,Walk,Sidewalk,,,,,,,1.35,
87,True,0.0,bottleneck,C_6,Bus,Road,,50,,0.4,,,17.0,
88,True,0.0,fixed,C_6,Bike,Road,,,,,0.15,,5.0,
89,True,37971.5478178298,fixed,C_6,Rail,Rail,,,,,,,20.0,
90,False,0.0,modified-quadratic,D_1,Auto-Bike,Road,-80.4,50,0.13,,0.5,,11.6,
91,True,0.0,fixed,D_1,Walk,Sidewalk,,,,,,,1.35,
92,True,0.0,bottleneck,D_1,Bus,Road,,50,,0.4,,,17.0,
93,True,0.0,fixed,D_1,Bike,Road,,,,,0.15,,5.0,
94,True,,fixed,D_1,Rail,Rail,,,,,,,20.0,
95,False,80978.13925872,modified-quadratic,D_2,Auto-Bike,Road,-148.79,50,0.1,,0.5,,,
96,True,16195.627851743999,fixed,D_2,Walk,Sidewalk,,,,,,,1.35,
97,True,0.0,bottleneck,D_2,Bus,Road,,50,,0.4,,,17.0,
98,True,0.0,fixed,D_2,Bike,Road,,,,,0.15,,5.0,
99,True,,fixed,D_2,Rail,Rail,,,,,,,20.0,
100,False,0.0,rural,D_3,Auto-Bike,Road,-302.29,50,0.07,,0.5,,,
101,True,0.0,fixed,D_3,Walk,Sidewalk,,,,,,,1.35,
102,True,0.0,bottleneck,D_3,Bus,Road,,50,,0.4,,,17.0,
103,True,0.0,fixed,D_3,Bike,Road,,,,,0.15,,5.0,
104,True,,fixed,D_3,Rail,Rail,,,,,,,20.0,
105,False,210523.5107438,rural,D_4,Auto-Bike,Road,-195.76,50,0.09,,0.5,,,
106,True,42104.70214876,fixed,D_4,Walk,Sidewalk,,,,,,,1.35,
107,True,0.0,bottleneck,D_4,Bus,Road,,50,,0.4,,,17.0,
108,True,0.0,fixed,D_4,Bike,Road,,,,,0.15,,5.0,
109,True,,fixed,D_4,Rail,Rail,,,,,,,20.0,
110,False,3559281.094830905,rural,D_5,Auto-Bike,Road,-147.41,50,0.11,,0.5,,,
111,True,711856.218966181,fixed,D_5,Walk,Sidewalk,,,,,,,1.35,
112,True,0.0,bottleneck,D_5,Bus,Road,,50,,0.4,,,17.0,
113,True,0.0,fixed,D_5,Bike,Road,,,,,0.15,,5.0,
114,True,,fixed,D_5,Rail,Rail,,,,,,,20.0,
115,False,6428750.014906599,rural,D_6,Auto-Bike,Road,-226.65,50,0.1,,,,,
116,True,1285750.0029813198,fixed,D_6,Walk,Sidewalk,,,,,,,1.35,
117,True,0.0,bottleneck,D_6,Bus,Road,,50,,0.4,,,17.0,
118,True,0.0,fixed,D_6,Bike,Road,,,,,0.15,,5.0,
119,True,,fixed,D_6,Rail,Rail,,,,,,,20.0,
120,False,0.0,modified-quadratic,E_1,Auto-Bike,Road,-80.4,50,0.13,,0.5,,11.6,
121,True,0.0,fixed,E_1,Walk,Sidewalk,,,,,,,1.35,
122,True,0.0,bottleneck,E_1,Bus,Road,,50,,0.4,,,17.0,
123,True,0.0,fixed,E_1,Bike,Road,,,,,0.15,,5.0,
124,True,,fixed,E_1,Rail,Rail,,,,,,,20.0,
125,False,126672.72372518,modified-quadratic,E_2,Auto-Bike,Road,-148.79,50,0.1,,0.5,,,
126,True,25334.544745036,fixed,E_2,Walk,Sidewalk,,,,,,,1.35,
127,True,0.0,bottleneck,E_2,Bus,Road,,50,,0.4,,,17.0,
128,True,0.0,fixed,E_2,Bike,Road,,,,,0.15,,5.0,
129,True,,fixed,E_2,Rail,Rail,,,,,,,20.0,
130,False,415240.54047034,rural,E_3,Auto-Bike,Road,-302.29,50,0.07,,0.5,,,
131,True,83048.108094068,fixed,E_3,Walk,Sidewalk,,,,,,,1.35,
132,True,0.0,bottleneck,E_3,Bus,Road,,50,,0.4,,,17.0,
133,True,0.0,fixed,E_3,Bike,Road,,,,,0.15,,5.0,
134,True,,fixed,E_3,Rail,Rail,,,,,,,20.0,
135,False,0.0,rural,E_4,Auto-Bike,Road,-195.76,50,0.09,,0.5,,,
136,True,0.0,fixed,E_4,Walk,Sidewalk,,,,,,,1.35,
137,True,0.0,bottleneck,E_4,Bus,Road,,50,,0.4,,,17.0,
138,True,0.0,fixed,E_4,Bike,Road,,,,,0.15,,5.0,
139,True,,fixed,E_4,Rail,Rail,,,,,,,20.0,
140,False,1118664.1505028706,rural,E_5,Auto-Bike,Road,-147.41,50,0.11,,0.5,,,
141,True,223732.83010057412,fixed,E_5,Walk,Sidewalk,,,,,,,1.35,
142,True,0.0,bottleneck,E_5,Bus,Road,,50,,0.4,,,17.0,
143,True,0.0,fixed,E_5,Bike,Road,,,,,0.15,,5.0,
144,True,,fixed,E_5,Rail,Rail,,,,,,,20.0,
145,False,578010.5061197999,rural,E_6,Auto-Bike,Road,-226.65,50,0.1,,,,,
146,True,115602.10122395998,fixed,E_6,Walk,Sidewalk,,,,,,,1.35,
147,True,0.0,bottleneck,E_6,Bus,Road,,50,,0.4,,,17.0,
148,True,0.0,fixed,E_6,Bike,Road,,,,,0.15,,5.0,
149,True,,fixed,E_6,Rail,Rail,,,,,,,20.0,
150,False,324723.313880628,modified-quadratic,F_1,Auto-Bus-Bike,Road,-80.4,50,0.13,,0.5,,11.6,
151,True,64944.662776125595,fixed,F_1,Walk,Sidewalk,,,,,,,1.35,
152,True,0.0,bottleneck,F_1,Bus,Road,,50,,0.4,,,17.0,
153,True,0.0,fixed,F_1,Bike,Road,,,,,0.15,,5.0,
154,True,5116.939098328798,fixed,F_1,Rail,Rail,,,,,,,20.0,
155,False,7915176.252545888,modified-quadratic,F_2,Auto-Bus-Bike,Road,-148.79,50,0.1,,0.5,,,
156,True,1583035.2505091776,fixed,F_2,Walk,Sidewalk,,,,,,,1.35,
157,True,0.0,bottleneck,F_2,Bus,Road,,50,,0.4,,,17.0,
158,True,0.0,fixed,F_2,Bike,Road,,,,,0.15,,5.0,
159,True,268513.85717812355,fixed,F_2,Rail,Rail,,,,,,,20.0,
160,False,8422991.396949034,rural,F_3,Auto-Bus-Bike,Road,-302.29,50,0.07,,0.5,,,
161,True,1684598.2793898068,fixed,F_3,Walk,Sidewalk,,,,,,,1.35,
162,True,0.0,bottleneck,F_3,Bus,Road,,50,,0.4,,,17.0,
163,True,0.0,fixed,F_3,Bike,Road,,,,,0.15,,5.0,
164,True,95172.74381740963,fixed,F_3,Rail,Rail,,,,,,,20.0,
165,False,298877.6209316453,rural,F_4,Auto-Bus-Bike,Road,-195.76,50,0.09,,0.5,,,
166,True,59775.52418632906,fixed,F_4,Walk,Sidewalk,,,,,,,1.35,
167,True,0.0,bottleneck,F_4,Bus,Road,,50,,0.4,,,17.0,
168,True,0.0,fixed,F_4,Bike,Road,,,,,0.15,,5.0,
169,True,3753.9959293645898,fixed,F_4,Rail,Rail,,,,,,,20.0,
170,False,13352211.897970596,rural,F_5,Auto-Bus-Bike,Road,-147.41,50,0.11,,0.5,,,
171,True,2670442.3795941193,fixed,F_5,Walk,Sidewalk,,,,,,,1.35,
172,True,0.0,bottleneck,F_5,Bus,Road,,50,,0.4,,,17.0,
173,True,0.0,fixed,F_5,Bike,Road,,,,,0.15,,5.0,
174,True,141811.85710765154,fixed,F_5,Rail,Rail,,,,,,,20.0,
175,False,5763234.14720116,rural,F_6,Auto-Bus-Bike,Road,-226.65,50,0.1,,,,,
176,True,1152646.829440232,fixed,F_6,Walk,Sidewalk,,,,,,,1.35,
177,True,0.0,bottleneck,F_6,Bus,Road,,50,,0.4,,,17.0,
178,True,0.0,fixed,F_6,Bike,Road,,,,,0.15,,5.0,
179,True,3661.0594691217652,fixed,F_6,Rail,Rail,,,,,,,20.0,
