OriginMicrotypeID,DestMicrotypeID,DistanceBinID,From,A_1,B_1,C_1,D_1,E_1,F_1,A_2,B_2,C_2,D_2,E_2,F_2,A_3,B_3,C_3,D_3,E_3,F_3,A_4,B_4,C_4,D_4,E_4,F_4,A_5,B_5,C_5,D_5,E_5,F_5,A_6,B_6,C_6,D_6,E_6,F_6
A_1,A_2,medium,A_2,0.414375375161314,0,0,0,0,0,0.211361723263621,0,0,0,0,0,0.203024901408163,0,0,0,0,0,0.00882355605237532,0,0,0,0,0,0.099737184478708,0,0,0,0,0,0.0363629406952862,0,0,0,0,0
A_1,A_2,medium,A_3,0.0928321773062051,0,0,0,0,0,0.863998787793423,0,0,0,0,0,0,0,0,0,0,0,0.0431690349003717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_4,0,0,0,0,0,0,0.847980187594527,0,0,0,0,0,0.152019812405473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_5,0,0,0,0,0,0,0.749194412456135,0,0,0,0,0,0.250805587543865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_1,0,0,0,0,0,0,0.976411941401846,0,0,0,0,0,0.0228269239390692,0,0,0,0,0,0,0,0,0,0,0,0.000761134659084621,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,xlong,A_1,0.150543544562531,0,0,0,0,0,0.477969847703115,0,0,0,0,0,0.247952994596081,0,0,0,0,0,0.0617877509397021,0,0,0,0,0,0.0551289759516434,0,0,0,0,0,0.0066168862469281,0,0,0,0,0
A_1,A_2,xlong,A_2,0.202136182610392,0,0,0,0,0,0.286734580891738,0,0,0,0,0,0.291353956242253,0,0,0,0,0,0.0817995517091328,0,0,0,0,0,0.119371956586474,0,0,0,0,0,0.0179304241659623,0,0,0,0,0
A_1,A_2,xlong,A_3,0.216099195863394,0,0,0,0,0,0.430425895618443,0,0,0,0,0,0.17809018601253,0,0,0,0,0,0.0878504909650599,0,0,0,0,0,0.0765095668110345,0,0,0,0,0,0.0110246647295391,0,0,0,0,0
A_1,A_2,xlong,A_4,0.0932586882145669,0,0,0,0,0,0.387813056567659,0,0,0,0,0,0.26194599947217,0,0,0,0,0,0.0560458971561352,0,0,0,0,0,0.200936358589469,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,xlong,A_5,0.0666386557274208,0,0,0,0,0,0.361751850863115,0,0,0,0,0,0.333709769526909,0,0,0,0,0,0.154313420110676,0,0,0,0,0,0.063803834691376,0,0,0,0,0,0.0197824690805034,0,0,0,0,0
A_1,A_2,xlong,A_6,0.349248387435821,0,0,0,0,0,0.256401428571747,0,0,0,0,0,0.377164960890274,0,0,0,0,0,0.00429481020122027,0,0,0,0,0,0.0128904129009378,0,0,0,0,0,0,0,0,0,0,0
A_1,A_3,long,A_1,0.0701165555564069,0,0,0,0,0,0.318029926682361,0,0,0,0,0,0.536499195541491,0,0,0,0,0,0.0300168456542029,0,0,0,0,0,0.0430466304038099,0,0,0,0,0,0.00229084616172853,0,0,0,0,0
A_1,A_3,long,A_2,0.19159913063261,0,0,0,0,0,0.0313888121815304,0,0,0,0,0,0.680564349767947,0,0,0,0,0,0.00891323988518653,0,0,0,0,0,0.0458009215025035,0,0,0,0,0,0.0417335460302223,0,0,0,0,0
A_1,A_3,long,A_3,0.303975328516993,0,0,0,0,0,0.301384700187827,0,0,0,0,0,0.264554910838092,0,0,0,0,0,0.0440483382753643,0,0,0,0,0,0.0804622849974292,0,0,0,0,0,0,0,0,0,0,0
A_1,A_3,long,A_4,0.227213012797215,0,0,0,0,0,0.232995064385158,0,0,0,0,0,0.539791922817628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_3,long,A_5,0.0955269395177698,0,0,0,0,0,0.402804473298152,0,0,0,0,0,0.479206083256903,0,0,0,0,0,0.0224625039271753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_3,long,A_6,0.103362252850796,0,0,0,0,0,0,0,0,0,0,0,0.896637747149204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
