microtype,hour,speed (mph),source
6,8,38.03033495033496,HERE mean speed
6,9,38.53525635103927,HERE mean speed
6,10,38.44946176946177,HERE mean speed
6,11,38.44546568061013,HERE mean speed
6,12,38.2356170409817,HERE mean speed
6,13,38.137327306444135,HERE mean speed
6,14,38.19430303030303,HERE mean speed
6,15,38.354335383159885,HERE mean speed
6,16,38.66444285714285,HERE mean speed
6,17,38.97806103286384,HERE mean speed
6,18,39.54217237569061,HERE mean speed
6,19,40.02891555145362,HERE mean speed
6,20,41.18813465529168,HERE mean speed
6,21,41.60814806273063,HERE mean speed
6,22,42.14300045495905,HERE mean speed
6,23,43.3860105528791,HERE mean speed
