OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,From,A_1,B_1,C_1,A_2,B_2,C_2,A_3,B_3,C_3,A_4,B_4,C_4,A_5,B_5,C_5,A_6,B_6,C_6
A_1,B_2,xlong,B_3,0.0,0.0953080347741523,0.0,0.0,0.320635913411737,0.0,0.0,0.276946256395814,0.0,0.0,0.0957649008252623,0.0,0.0,0.120209275667705,0.0,0.0,0.0911356189253289,0.0
A_1,B_2,xlong,B_4,0.0,0.0,0.0,0.0,0.256047774543096,0.0,0.0,0.0861123151673126,0.0,0.0,0.0,0.0,0.0,0.657839910289592,0.0,0.0,0.0,0.0
A_1,B_2,xlong,B_5,0.0,0.0015000774442633,0.0,0.0,0.370891176097758,0.0,0.0,0.288969064218243,0.0271566279894567,0.0,0.0192577718457224,0.0,0.0,0.19878719862047,0.0,0.0,0.0934380837840862,0.0
A_1,B_2,xlong,B_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583333862472409,0.268198250351781,0.0,0.0,0.0,0.0,0.148467887175809,0.0,0.0,0.0,0.0
A_1,B_2,xlong,C_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,B_2,xlong,C_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
A_1,B_2,xlong,C_3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
A_1,B_2,xlong,C_5,0.0,0.0,0.0,0.0,0.0,0.415825473859607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,B_2,xlong,C_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,B_3,xlong,A_1,0.126744178792336,0.0,0.0,0.410506075516083,0.0,0.0,0.234951629831643,0.0,0.0,0.149280196205179,0.0,0.0,0.0785179196547592,0.0,0.0,0.0,0.0,0.0
A_1,B_3,xlong,A_2,0.101974693241155,0.0,0.0,0.309499073085212,0.0,0.0,0.306766291177473,0.0,0.0,0.0330765826008162,0.0,0.0,0.248683359895344,0.0,0.0,0.0,0.0,0.0
A_1,B_3,xlong,A_3,0.111774300031266,0.0,0.0,0.0669032975240596,0.0,0.0,0.168064289632009,0.0816748595400826,0.0,0.0918239091141026,0.0,0.0,0.339576699478862,0.0,0.0,0.0,0.0,0.0
