SubnetworkID,MicrotypeID,ModesAllowed,Dedicated,Length,Type,vMax,avgLinkLength,densityMax
142,D_4,Rail,True,21.910481881682312,Rail,20.0,50.0,0.145
143,D_4,Walk,True,194047236.74610853,Sidewalk,1.4,50.0,0.145
144,D_5,Auto-Bike,False,11010.598287207904,Road,16.0,50.0,0.145
145,D_5,Auto-Bus-Bike,False,10243314.318595964,Road,16.0,50.0,0.145
146,D_5,Bike,True,0.0,BikeLane,4.2,50.0,0.145
147,D_5,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
148,D_5,Rail,True,0.9262783807397166,Rail,20.0,50.0,0.145
149,D_5,Walk,True,8203459.933506539,Sidewalk,1.4,50.0,0.145
150,D_6,Auto-Bike,False,1127602.1778850448,Road,16.0,50.0,0.145
151,D_6,Auto-Bus-Bike,False,1049024152.286901,Road,16.0,50.0,0.145
152,D_6,Bike,True,0.0,BikeLane,4.2,50.0,0.145
153,D_6,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
154,D_6,Rail,True,94.86074164229612,Rail,20.0,50.0,0.145
155,D_6,Walk,True,840121403.5718288,Sidewalk,1.4,50.0,0.145
162,E_1,Auto-Bike,False,996.632396522342,Road,16.0,50.0,0.145
163,E_1,Auto-Bus-Bike,False,2002814.8753518795,Road,16.0,50.0,0.145
164,E_1,Bike,True,0.0,BikeLane,4.2,50.0,0.145
165,E_1,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
167,E_1,Walk,True,1603049.2061987217,Sidewalk,1.4,50.0,0.145
168,E_2,Auto-Bike,False,15389.780467573495,Road,16.0,50.0,0.145
169,E_2,Auto-Bus-Bike,False,30927031.2267689,Road,16.0,50.0,0.145
170,E_2,Bike,True,0.0,BikeLane,4.2,50.0,0.145
171,E_2,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
173,E_2,Walk,True,24753936.80578918,Sidewalk,1.4,50.0,0.145
174,E_3,Auto-Bike,False,63349.93170560006,Road,16.0,50.0,0.145
175,E_3,Auto-Bus-Bike,False,127306904.74765955,Road,16.0,50.0,0.145
176,E_3,Bike,True,0.0,BikeLane,4.2,50.0,0.145
177,E_3,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
179,E_3,Walk,True,101896203.74349213,Sidewalk,1.4,50.0,0.145
180,E_4,Auto-Bike,False,217398.4438151104,Road,16.0,50.0,0.145
181,E_4,Auto-Bus-Bike,False,436880076.01455903,Road,16.0,50.0,0.145
182,E_4,Bike,True,0.0,BikeLane,4.2,50.0,0.145
183,E_4,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
185,E_4,Walk,True,349677979.5666993,Sidewalk,1.4,50.0,0.145
186,E_5,Auto-Bike,False,2757.321927929134,Road,16.0,50.0,0.145
187,E_5,Auto-Bus-Bike,False,5541065.48478689,Road,16.0,50.0,0.145
188,E_5,Bike,True,0.0,BikeLane,4.2,50.0,0.145
189,E_5,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
191,E_5,Walk,True,4435058.245371856,Sidewalk,1.4,50.0,0.145
192,E_6,Auto-Bike,False,233619.9781522677,Road,16.0,50.0,0.145
193,E_6,Auto-Bus-Bike,False,469478585.138742,Road,16.0,50.0,0.145
194,E_6,Bike,True,0.0,BikeLane,4.2,50.0,0.145
195,E_6,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
197,E_6,Walk,True,375769764.09351546,Sidewalk,1.4,50.0,0.145
204,F_2,Auto-Bike,False,0.0,Road,16.0,50.0,0.145
205,F_2,Auto-Bus-Bike,False,2277567.462213246,Road,16.0,50.0,0.145
206,F_2,Bike,True,0.0,BikeLane,4.2,50.0,0.145
207,F_2,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
209,F_2,Walk,True,1822053.969770597,Sidewalk,1.4,50.0,0.145
210,F_3,Auto-Bike,False,0.0,Road,16.0,50.0,0.145
211,F_3,Auto-Bus-Bike,False,69294436.76600578,Road,16.0,50.0,0.145
212,F_3,Bike,True,0.0,BikeLane,4.2,50.0,0.145
213,F_3,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
215,F_3,Walk,True,55435549.412804626,Sidewalk,1.4,50.0,0.145
216,F_4,Auto-Bike,False,0.0,Road,16.0,50.0,0.145
217,F_4,Auto-Bus-Bike,False,18881502.318554692,Road,16.0,50.0,0.145
218,F_4,Bike,True,0.0,BikeLane,4.2,50.0,0.145
219,F_4,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
221,F_4,Walk,True,15105201.854843752,Sidewalk,1.4,50.0,0.145
222,F_5,Auto-Bike,False,0.0,Road,16.0,50.0,0.145
223,F_5,Auto-Bus-Bike,False,425927.47217545996,Road,16.0,50.0,0.145
224,F_5,Bike,True,0.0,BikeLane,4.2,50.0,0.145
225,F_5,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
