BetaAccessTime,InclusiveValue,TripPurposeID,Mode,Intercept,PopulationGroupTypeID,BetaTravelTime,BetaWaitTime
0,1.84576153739656,medical,bike,-5.04305341396888,D,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,rail,-7.68887560174547,A,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,rail,-7.68887560174547,B,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,rail,-7.68887560174547,C,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,rail,-7.68887560174547,D,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,walk,-0.394368144888463,A,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,walk,-0.394368144888463,B,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,walk,-0.394368144888463,C,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,walk,-0.394368144888463,D,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,rail_c,-14.0717373495057,A,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,rail_c,-14.0717373495057,B,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,rail_c,-14.0717373495057,C,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,rail_c,-14.0717373495057,D,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,taxi,-4.74040790981336,A,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,taxi,-4.74040790981336,B,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,taxi,-4.74040790981336,C,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,taxi,-4.74040790981336,D,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,auto,0,A,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,auto,0,B,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,auto,0,C,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,auto,0,D,-0.0553668821687996,0.028320795939901
-0.175925282346179,0.860034284248614,other,auto,0,A,-0.0871327140692443,0
-0.175925282346179,0.860034284248614,other,auto,0,B,-0.0708075575063112,0
-0.175925282346179,0.860034284248614,other,auto,0,C,-0.117022756947692,-0.282462768794243
-0.175925282346179,0.860034284248614,other,auto,0,D,-0.0827812940639312,-0.0249630015186559
-0.141427036802862,0.879156107291677,school,auto,0,A,-0.0556503277108728,-0.25183008565602
-0.141427036802862,0.879156107291677,school,auto,0,B,-0.0564218214267874,-0.122756914495842
-0.141427036802862,0.879156107291677,school,auto,0,C,-0.110585952941313,-0.339965089939582
-0.141427036802862,0.879156107291677,school,auto,0,D,-0.0903642260972614,-0.186073571772911
-0.129738247286035,0.963311480429309,social,auto,0,A,-0.0509021291727628,-0.427637701948225
-0.129738247286035,0.963311480429309,social,auto,0,B,-0.0708962018751723,-0.347650925854628
-0.129738247286035,0.963311480429309,social,auto,0,C,-0.0888746215862262,-0.634900698232723
-0.129738247286035,0.963311480429309,social,auto,0,D,-0.0735993090520612,-0.484103682102517
-0.129248868068571,1.11494842753478,home,auto,0,A,-0.0526815129933504,-0.28428285230839
-0.129248868068571,1.11494842753478,home,auto,0,B,-0.0582368756298745,-0.198600402063811
-0.129248868068571,1.11494842753478,home,auto,0,C,-0.0713021196150312,-0.413924290838066
-0.129248868068571,1.11494842753478,home,auto,0,D,-0.0757296819016691,-0.273694844465634
-0.093710650086398,1.25666826501849,work,auto,0,A,-0.119932281307162,-1.05553087592134
-0.093710650086398,1.25666826501849,work,auto,0,B,-0.0704670608577458,-0.491457630858718
-0.093710650086398,1.25666826501849,work,auto,0,C,-0.0515421905766253,-0.672365271251012
-0.093710650086398,1.25666826501849,work,auto,0,D,-0.084752467468926,-0.538779779752459
