PopulationGroupID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaTravelTimeMixed
HighIncNoVehSenior,work,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
HighIncVehSenior,work,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
LowIncNoVehSenior,work,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
LowIncVehSenior,work,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
HighIncNoVehSenior,work,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
HighIncVehSenior,work,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
LowIncNoVeh,home,hv,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.019,0.0,0.0
LowIncVeh,home,hv,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVeh,home,hv,-3.602,-0.148,-0.065,-0.019,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.04,0.0,0.0
HighIncVeh,home,hv,0.0,-0.148,-0.065,-0.019,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVeh,home,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
LowIncVeh,home,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
